species	superkingdom	phylum	class	order	family
curvibacter_delicatus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
streptomyces_puniceus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
pseudomonas_parafulva	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
chryseobacterium_molle	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
staphylococcus_gallinarum	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
pectobacterium_wasabiae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae
marvinbryantia_formatexigens	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
halorhabdus_utahensis	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae
dietzia_cercidiphylli	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Dietziaceae
sinosporangium_album	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae
dorea_longicatena	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
sphingomicrobium_lutaoense	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
epilithonimonas_tenax	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
rarobacter_incanus	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Rarobacteraceae
bacillus_plakortidis	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae
desulfotomaculum_thermoacetoxidans	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
thermoproteus_neutrophilus	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae
streptomyces_canarius	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
ottowia_pentelensis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
leifsonia_pindariensis	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
streptomyces_sannurensis	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
mycobacterium_kumamotonense	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae
planctomyces_limnophilus	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae
photobacterium_leiognathi	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
glaciecola_mesophila	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae
lactobacillus_harbinensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
streptomyces_violaceolatus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
acetobacter_orientalis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
corynebacterium_sphenisci	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae
oceanithermus_desulfurans	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae
mycetocola_reblochoni	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
streptomyces_griseoflavus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
corynebacterium_glaucum	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae
acetobacter_aceti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae
dyella_koreensis	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae
adhaeribacter_aquaticus	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae
carnobacterium_divergens	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
streptomyces_thermocarboxydovorans	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
streptomyces_aureus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
thermobifida_fusca	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae
rathayibacter_caricis	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae
sphingomonas_melonis	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae
leptospira_weilii	Bacteria	Spirochaetes	Spirochaetia	None	Leptospiraceae
acidilobus_saccharovorans	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae
thermosinus_carboxydivorans	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae
zhihengliuella_salsuginis	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
rhodococcus_globerulus	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae
erwinia_psidii	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae
roseivivax_halodurans	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae
streptomyces_paucisporeus	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae
acidihalobacter_ferrooxidans	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae
