species	superkingdom	phylum	class
psilocybe_semilanceata	Eukaryota	Basidiomycota	
beauveria_felina	Eukaryota	Ascomycota	
paecilomyces_lilacinus	Eukaryota	Ascomycota	
clostridium_cochlearium	Bacteria	Firmicutes	
clostridium_saccharobutylicum	Bacteria	Firmicutes	
mycena_citrinomarginata	Eukaryota	Basidiomycota	
bacillus_subtilis	Bacteria	Firmicutes	
arthrobacter_uratoxydans	Bacteria	Actinobacteria	
peniophora_pini	Eukaryota	Basidiomycota	
brevundimonas_basaltis	Bacteria	Proteobacteria	Alphaproteobacteria
bacillus_panaciterrae	Bacteria	Firmicutes	
gloeophyllum_trabeum	Eukaryota	Basidiomycota	
mycobacterium_senuense	Bacteria	Actinobacteria	
pentas_lanceolata	Eukaryota	Streptophyta	
actinomadura_rupiterrae	Bacteria	Actinobacteria	
thiocapsa_marina	Bacteria	Proteobacteria	Gammaproteobacteria
mycobacterium_septicum	Bacteria	Actinobacteria	
pseudomonas_protegens	Bacteria	Proteobacteria	Gammaproteobacteria
saccharopolyspora_tripterygii	Bacteria	Actinobacteria	
pseudoalteromonas_denitrificans	Bacteria	Proteobacteria	Gammaproteobacteria
desulfurella_acetivorans	Bacteria	Proteobacteria	Deltaproteobacteria
streptomyces_hawaiiensis	Bacteria	Actinobacteria	
sphingobium_indicum	Bacteria	Proteobacteria	Alphaproteobacteria
desulfopila_inferna	Bacteria	Proteobacteria	Deltaproteobacteria
ignatzschineria_indica	Bacteria	Proteobacteria	Gammaproteobacteria
nocardioides_dubius	Bacteria	Actinobacteria	
phialophora_richardsiae	Eukaryota	Ascomycota	
porphyromonas_gingivalis	Bacteria	Bacteroidetes	
amycolatopsis_sulphurea	Bacteria	Actinobacteria	
streptomyces_omiyaensis	Bacteria	Actinobacteria	
macrococcus_bovicus	Bacteria	Firmicutes	
thalurania_furcata	Eukaryota	Chordata	
enterococcus_pseudoavium	Bacteria	Firmicutes	
podospora_fimbriata	Eukaryota	Ascomycota	
lentibacillus_lacisalsi	Bacteria	Firmicutes	
gracilibacillus_ureilyticus	Bacteria	Firmicutes	
kribbella_sancticallisti	Bacteria	Actinobacteria	
corynebacterium_durum	Bacteria	Actinobacteria	
aeropyrum_camini	Archaea	Crenarchaeota	
anaerophaga_thermohalophila	Bacteria	Bacteroidetes	
citrobacter_sedlakii	Bacteria	Proteobacteria	Gammaproteobacteria
anchusa_azurea	Eukaryota	Streptophyta	
methylobacterium_phyllosphaerae	Bacteria	Proteobacteria	Alphaproteobacteria
yuhushiella_deserti	Bacteria	Actinobacteria	
aeromonas_popoffii	Bacteria	Proteobacteria	Gammaproteobacteria
berberis_crataegina	Eukaryota	Arthropoda	
agromyces_flavus	Bacteria	Actinobacteria	
novosphingobium_mathurense	Bacteria	Proteobacteria	Alphaproteobacteria
promicromonospora_vindobonensis	Bacteria	Actinobacteria	
methylomicrobium_alcaliphilum	Bacteria	Proteobacteria	Gammaproteobacteria
acinetobacter_parvus	Bacteria	Proteobacteria	Gammaproteobacteria
voacanga_globosa	Eukaryota	Streptophyta	
quadrisphaera_granulorum	Bacteria	Actinobacteria	
exiguobacterium_artemiae	Bacteria	Firmicutes	
clostridium_nexile	Bacteria	Firmicutes	
colletotrichum_musae	Eukaryota	Ascomycota	
lactobacillus_johnsonii	Bacteria	Firmicutes	
thomomys_bottae	Eukaryota	Chordata	
propionimicrobium_lymphophilum	Bacteria	Actinobacteria	
ochrobactrum_pecoris	Bacteria	Proteobacteria	Alphaproteobacteria
nereida_ignava	Bacteria	Proteobacteria	Alphaproteobacteria
dasycercus_cristicaudata	Eukaryota	Chordata	
antrodia_serialis	Eukaryota	Basidiomycota	
mycobacterium_gadium	Bacteria	Actinobacteria	
penicillium_vulpinum	Eukaryota	Ascomycota	
borrelia_bissettii	Bacteria	Spirochaetes	
pseudoalteromonas_peptidolytica	Bacteria	Proteobacteria	Gammaproteobacteria
mycobacterium_mantenii	Bacteria	Actinobacteria	
streptomyces_recifensis	Bacteria	Actinobacteria	
actinomadura_citrea	Bacteria	Actinobacteria	
arthrobacter_dextranlyticum	Bacteria	Actinobacteria	
chryseobacterium_bovis	Bacteria	Bacteroidetes	
planobispora_longispora	Bacteria	Actinobacteria	
pseudobutyrivibrio_xylanivorans	Bacteria	Firmicutes	
pedobacter_terrae	Bacteria	Bacteroidetes	
fervidobacterium_nodosum	Bacteria	Thermotogae	
streptomyces_showdoensis	Bacteria	Actinobacteria	
erinaceus_concolor	Eukaryota	Chordata	
holdemania_filiformis	Bacteria	Firmicutes	
stropharia_albonitens	Eukaryota	Basidiomycota	
thioalkalimicrobium_microaerophilum	Bacteria	Proteobacteria	Gammaproteobacteria
afipia_clevelandensis	Bacteria	Proteobacteria	Alphaproteobacteria
ondatra_zibethicus	Eukaryota	Chordata	
agrocybe_dura	Eukaryota	Basidiomycota	
desulfovibrio_sulfodismutans	Bacteria	Proteobacteria	Deltaproteobacteria
lautropia_mirabilis	Bacteria	Proteobacteria	Betaproteobacteria
streptomyces_bangladeshensis	Bacteria	Actinobacteria	
sulfobacillus_sibiricus	Bacteria	Firmicutes	
agaricus_semotus	Eukaryota	Basidiomycota	
streptomyces_actinopycnidium	Bacteria	Actinobacteria	
absidia_coerulea	Eukaryota	Mucoromycota	
pantoea_calida	Bacteria	Proteobacteria	Gammaproteobacteria
mus_minutoides	Eukaryota	Chordata	
lonepinella_koalarum	Bacteria	Proteobacteria	Gammaproteobacteria
