species	superkingdom	phylum	class
pandoraea_faecigallinarum	Bacteria	Proteobacteria	Betaproteobacteria
marinobacter_daepoensis	Bacteria	Proteobacteria	Gammaproteobacteria
agromyces_neolithicus	Bacteria	Actinobacteria	
haloferax_prahovense	Archaea	Euryarchaeota	
desulfobacterium_vacuolatum	Bacteria	Proteobacteria	Deltaproteobacteria
alternaria_calendulae	Eukaryota	Ascomycota	
thermococcus_peptonophilus	Archaea	Euryarchaeota	
abiotrophia_defectiva	Bacteria	Firmicutes	
bacillus_vireti	Bacteria	Firmicutes	
thiomicrospira_chilensis	Bacteria	Proteobacteria	Gammaproteobacteria
serpula_himantioides	Eukaryota	Basidiomycota	
macrotis_lagotis	Eukaryota	Chordata	
flavobacterium_gillisiae	Bacteria	Bacteroidetes	
arenimonas_donghaensis	Bacteria	Proteobacteria	Gammaproteobacteria
meiothermus_timidus	Bacteria	Deinococcus-Thermus	
clostridium_chauvoei	Bacteria	Firmicutes	
paenibacillus_pabuli	Bacteria	Firmicutes	
streptomyces_fulvissimus	Bacteria	Actinobacteria	
veillonella_montpellierensis	Bacteria	Firmicutes	
astragalus_bisculatus	Eukaryota	Streptophyta	
shigella_flexneri	Bacteria	Proteobacteria	Gammaproteobacteria
fusarium_anthophilum	Eukaryota	Ascomycota	
tsukamurella_paurometabola	Bacteria	Actinobacteria	
inquilinus_limosus	Bacteria	Proteobacteria	Alphaproteobacteria
mycobacterium_holsaticum	Bacteria	Actinobacteria	
ignisphaera_aggregans	Archaea	Crenarchaeota	
halobacillus_kuroshimensis	Bacteria	Firmicutes	
marinomonas_dokdonensis	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_olivaceus	Bacteria	Actinobacteria	
rubellimicrobium_mesophilum	Bacteria	Proteobacteria	Alphaproteobacteria
leadbetterella_byssophila	Bacteria	Bacteroidetes	
ancalomicrobium_adetum	Bacteria	Proteobacteria	Alphaproteobacteria
halorubrum_luteum	Archaea	Euryarchaeota	
tecoma_stans	Eukaryota	Streptophyta	
spiroplasma_platyhelix	Bacteria	Tenericutes	
hydrogenophaga_defluvii	Bacteria	Proteobacteria	Betaproteobacteria
thermoplasma_volcanium	Archaea	Euryarchaeota	
thermus_aquaticus	Bacteria	Deinococcus-Thermus	
cricetus_cricetus	Eukaryota	Chordata	
streptomyces_sanyensis	Bacteria	Actinobacteria	
thiolamprovum_pedioforme	Bacteria	Proteobacteria	Gammaproteobacteria
chryseobacterium_piperi	Bacteria	Bacteroidetes	
shewanella_halifaxensis	Bacteria	Proteobacteria	Gammaproteobacteria
erwinia_tasmaniensis	Bacteria	Proteobacteria	Gammaproteobacteria
lactobacillus_hayakitensis	Bacteria	Firmicutes	
penicillium_rubrum	Eukaryota	Ascomycota	
mycobacterium_brisbanense	Bacteria	Actinobacteria	
actinomadura_umbrina	Bacteria	Actinobacteria	
desulfacinum_infernum	Bacteria	Proteobacteria	Deltaproteobacteria
kibdelosporangium_philippinense	Bacteria	Actinobacteria	
halosimplex_carlsbadense	Archaea	Euryarchaeota	
dipus_sagitta?	Eukaryota	Chordata	
polaromonas_vacuolata	Bacteria	Proteobacteria	Betaproteobacteria
pseudomonas_brassica	Eukaryota	Streptophyta	
tonatia_bidens	Eukaryota	Chordata	
streptomyces_globosus	Bacteria	Actinobacteria	
lophodermium_seditiosum	Eukaryota	Ascomycota	
protomyces_pachydermus	Eukaryota	Ascomycota	
burkholderia_pyrrocinia	Bacteria	Proteobacteria	Betaproteobacteria
spiroplasma_gladiatoris	Bacteria	Tenericutes	
halomonas_qijiaojingensis	Bacteria	Proteobacteria	Gammaproteobacteria
fusicoccum_galericulatum	Eukaryota	Ascomycota	
pseudomonas_argentinensis	Bacteria	Proteobacteria	Gammaproteobacteria
amycolatopsis_thermoflava	Bacteria	Actinobacteria	
halomonas_vilamensis	Bacteria	Proteobacteria	Gammaproteobacteria
slackia_equolifaciens	Bacteria	Actinobacteria	
paenibacillus_favisporus	Bacteria	Firmicutes	
thermodesulfobacterium_hydrogeniphilum	Bacteria	Thermodesulfobacteria	
spermophilus_beldingi	Eukaryota	Chordata	
clostridium_acidisoli	Bacteria	Firmicutes	
hyphomicrobium_denitrificans	Bacteria	Proteobacteria	Alphaproteobacteria
clostridium_cocleatum	Bacteria	Firmicutes	
mesorhizobium_mediterraneum	Bacteria	Proteobacteria	Alphaproteobacteria
streptomyces_sundarbansensis	Bacteria	Actinobacteria	
streptomyces_kanamyceticus	Bacteria	Actinobacteria	
rhodovulum_kholense	Bacteria	Proteobacteria	Alphaproteobacteria
microbacterium_insulae	Bacteria	Actinobacteria	
photorhabdus_luminescens	Bacteria	Proteobacteria	Gammaproteobacteria
armillaria_bulbosa	Eukaryota	Basidiomycota	
chromobacterium_pseudoviolaceum	Bacteria	Proteobacteria	Betaproteobacteria
lemmus_sibericus	Eukaryota	Chordata	
rhizobium_multihospitium	Bacteria	Proteobacteria	Alphaproteobacteria
thermobifida_fusca	Bacteria	Actinobacteria	
bipolaris_victoriae	Eukaryota	Ascomycota	
rhodococcus_nocardia	Bacteria	Actinobacteria	
sulfurimonas_paralvinellae	Bacteria	Proteobacteria	Epsilonproteobacteria
sphingomonas_jaspsi	Bacteria	Proteobacteria	Alphaproteobacteria
devosia_limi	Bacteria	Proteobacteria	Alphaproteobacteria
thermococcus_kodakarensis	Archaea	Euryarchaeota	
methanoplanus_endosymbiosus	Archaea	Euryarchaeota	
ramaria_flava	Eukaryota	Basidiomycota	
nocardia_takedensis	Bacteria	Actinobacteria	
amycolatopsis_equina	Bacteria	Actinobacteria	
desulfotomaculum_solfataricum	Bacteria	Firmicutes	
streptomyces_rochei	Bacteria	Actinobacteria	
aquimarina_agarilytica	Bacteria	Bacteroidetes	
arcobacter_cibarius	Bacteria	Proteobacteria	Epsilonproteobacteria
microbacterium_binotii	Bacteria	Actinobacteria	
actinomyces_johnsonii	Bacteria	Actinobacteria	
ferocactus_latispinus	Eukaryota	Streptophyta	
propioniciclava_tarda	Bacteria	Actinobacteria	
micromonospora_chokoriensis	Bacteria	Actinobacteria	
mesorhizobium_thiogangeticum	Bacteria	Proteobacteria	Alphaproteobacteria
actinomyces_oris	Bacteria	Actinobacteria	
sphaerisporangium_album	Bacteria	Actinobacteria	
peterozyma_xylosa	Eukaryota	Ascomycota	
zobellella_denitrificans	Bacteria	Proteobacteria	Gammaproteobacteria
chryseobacterium_joostei	Bacteria	Bacteroidetes	
enterococcus_gallinarum	Bacteria	Firmicutes	
petaurus_breviceps	Eukaryota	Chordata	
corynebacterium_aurimucosum	Bacteria	Actinobacteria	
anoxybacillus_tengchongensis	Bacteria	Firmicutes	
clavispora_lusitaniae	Eukaryota	Ascomycota	
isoodon_macrourus	Eukaryota	Chordata	
microbacterium_paraoxydans	Bacteria	Actinobacteria	
amazilia_leucogaster	Eukaryota	Chordata	
luteimonas_aestuarii	Bacteria	Proteobacteria	Gammaproteobacteria
candida_spandovensis	Eukaryota	Ascomycota	
frondihabitans_australicus	Bacteria	Actinobacteria	
streptosporangium_streptosporangium	Bacteria	Actinobacteria	
leptotrichia_hofstadii	Bacteria	Fusobacteria	
zeaxanthinibacter_enoshimensis	Bacteria	Bacteroidetes	
anaerobiospirillum_thomasii	Bacteria	Proteobacteria	Gammaproteobacteria
novosphingobium_panipatense	Bacteria	Proteobacteria	Alphaproteobacteria
bacillus_ginsengi	Bacteria	Firmicutes	
methylobacterium_thiocyanatum	Bacteria	Proteobacteria	Alphaproteobacteria
methylibium_petroleiphilum	Bacteria	Proteobacteria	Betaproteobacteria
streptomyces_reticuliscabiei	Bacteria	Actinobacteria	
paenibacillus_graminis	Bacteria	Firmicutes	
dasypus_novemcinctus	Eukaryota	Chordata	
amycolatopsis_regifaucium	Bacteria	Actinobacteria	
albimonas_donghaensis	Bacteria	Proteobacteria	Alphaproteobacteria
andreprevotia_chitinilytica	Bacteria	Proteobacteria	Betaproteobacteria
elephantulus_myurus	Eukaryota	Chordata	
alistipes_finegoldii	Bacteria	Bacteroidetes	
thermococcus_radiotolerans	Archaea	Euryarchaeota	
salinibacter_ruber	Bacteria	Bacteroidetes	
inquilinus_ginsengisoli	Bacteria	Proteobacteria	Alphaproteobacteria
aconaemys_fuscus	Eukaryota	Chordata	
solobacterium_moorei	Bacteria	Firmicutes	
sphaerotilus_natans	Bacteria	Proteobacteria	Betaproteobacteria
terrabacter_terrigena	Bacteria	Actinobacteria	
streptomyces_amakusaensis	Bacteria	Actinobacteria	
xylaria_digitata	Eukaryota	Ascomycota	
coprinus_sterquilinius	Eukaryota	Basidiomycota	
pseudomonas_fuscovaginae	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_violaceochromogenes	Bacteria	Actinobacteria	
citrobacter_note:	Bacteria		
rhodopseudomonas_pseudopalustris	Bacteria	Proteobacteria	Alphaproteobacteria
saccharopolyspora_shandongensis	Bacteria	Actinobacteria	
bacillus_iranensis	Bacteria	Firmicutes	
rebutia_violaciflora	Eukaryota	Streptophyta	
rhodococcus_phenolicus	Bacteria	Actinobacteria	
methanohalophilus_halophilus	Archaea	Euryarchaeota	
clostridium_saccharogumia	Bacteria	Firmicutes	
methylophilus_flavus	Bacteria	Proteobacteria	Betaproteobacteria
actinomyces_urogenitalis	Bacteria	Actinobacteria	
gentiana_fetisowii	Eukaryota	Streptophyta	
streptomyces_werraensis	Bacteria	Actinobacteria	
yaniella_fodinae	Bacteria	Actinobacteria	
drechslera_urochloae	Eukaryota	Ascomycota	
methanolobus_tindarius	Archaea	Euryarchaeota	
pseudomonas_asplenii	Bacteria	Proteobacteria	Gammaproteobacteria
sporosalibacterium_faouarense	Bacteria	Firmicutes	
thermomonas_hydrothermalis	Bacteria	Proteobacteria	Gammaproteobacteria
desulfoglaeba_alkanexedens	Bacteria	Proteobacteria	Deltaproteobacteria
geobacillus_lituanicus	Bacteria	Firmicutes	
struthio_camelus	Eukaryota	Chordata	
micromonospora_citrea	Bacteria	Actinobacteria	
radiomyces_spectabilis	Eukaryota	Mucoromycota	
vibrio_cholerae	Bacteria	Proteobacteria	Gammaproteobacteria
erythrobacter_citreus	Bacteria	Proteobacteria	Alphaproteobacteria
actinoallomurus_iriomotensis	Bacteria	Actinobacteria	
ophiostoma_piceae	Eukaryota	Ascomycota	
collimonas_fungivorans	Bacteria	Proteobacteria	Betaproteobacteria
curtobacterium_albidum	Bacteria	Actinobacteria	
virgibacillus_pantothenticus	Bacteria	Firmicutes	
streptomyces_niger	Bacteria	Actinobacteria	
geobacter_metallireducens	Bacteria	Proteobacteria	Deltaproteobacteria
cupriavidus_metallidurans	Bacteria	Proteobacteria	Betaproteobacteria
micrococcus_lylae	Bacteria	Actinobacteria	
leu_escherichia	Bacteria	Proteobacteria	Gammaproteobacteria
penicillium_glabrum	Eukaryota	Ascomycota	
nocardioides_ginsengagri	Bacteria	Actinobacteria	
ensifer_terangae	Bacteria	Proteobacteria	Alphaproteobacteria
nocardiopsis_litoralis	Bacteria	Actinobacteria	
streptomyces_misakiensis	Bacteria	Actinobacteria	
thermoactinomyces_vulgaris	Bacteria	Firmicutes	
kutzneria_viridogrisea	Bacteria	Actinobacteria	
mycobacterium_rutilum	Bacteria	Actinobacteria	
labrys_okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria
piptocephalis_cylindrospora		Zoopagomycota	
clostridium_peptidivorans	Bacteria	Firmicutes	
mucor_flavus	Eukaryota	Mucoromycota	
burkholderia_graminis	Bacteria	Proteobacteria	Betaproteobacteria
listeria_ivanovii	Bacteria	Firmicutes	
afipia_massiliensis	Bacteria	Proteobacteria	Alphaproteobacteria
rhodovulum_sulfidophilum	Bacteria	Proteobacteria	Alphaproteobacteria
desulfovibrio_senezii	Bacteria	Proteobacteria	Deltaproteobacteria
mycobacterium_immunogenum	Bacteria	Actinobacteria	
vulcanisaeta_distributa	Archaea	Crenarchaeota	
pseudomonas_grimontii	Bacteria	Proteobacteria	Gammaproteobacteria
schizosaccharomyces_japonicus	Eukaryota	Ascomycota	
joostella_marina	Bacteria	Bacteroidetes	
streptomyces_fumanus	Bacteria	Actinobacteria	
pseudomonas_mosselii	Bacteria	Proteobacteria	Gammaproteobacteria
chaetomium_thermophilum	Eukaryota	Ascomycota	
clostridium_aceticum	Bacteria	Firmicutes	
streptomyces_griseosporeus	Bacteria	Actinobacteria	
spirochaeta_dissipatitropha	Bacteria	Spirochaetes	
paucimonas_lemoignei	Bacteria	Proteobacteria	Betaproteobacteria
paenibacillus_wynnii	Bacteria	Firmicutes	
mycobacterium_pulveris	Bacteria	Actinobacteria	
podoviridae_escherichia	Bacteria	Proteobacteria	Gammaproteobacteria
pholiota_carbonaria	Eukaryota	Basidiomycota	
silvimonas_iriomotensis	Bacteria	Proteobacteria	Betaproteobacteria
chromobacterium_aquaticum	Bacteria	Proteobacteria	Betaproteobacteria
brachybacterium_tyrofermentans	Bacteria	Actinobacteria	
petrotoga_mobilis	Bacteria	Thermotogae	
saccharibacillus_sacchari	Bacteria	Firmicutes	
microvirga_subterranea	Bacteria	Proteobacteria	Alphaproteobacteria
sceletium_rigidum	Eukaryota	Streptophyta	
oligoryzomys_longicaudatus	Eukaryota	Chordata	
ctenomys_australis	Eukaryota	Chordata	
vibrio_diazotrophicus	Bacteria	Proteobacteria	Gammaproteobacteria
moraxella_porci	Bacteria	Proteobacteria	Gammaproteobacteria
paraxerus_palliatus	Eukaryota	Cnidaria	
halanaerobium_lacusrosei	Bacteria	Firmicutes	
streptococcus_marimammalium	Bacteria	Firmicutes	
sulfuricurvum_kujiense	Bacteria	Proteobacteria	Epsilonproteobacteria
algoriphagus_ratkowskyi	Bacteria	Bacteroidetes	
pseudoalteromonas_aurantia	Bacteria	Proteobacteria	Gammaproteobacteria
variovorax_ginsengisoli	Bacteria	Proteobacteria	Betaproteobacteria
psychrobacter_okhotskensis	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_sporoclivatus	Bacteria	Actinobacteria	
nocardioides_luteus	Bacteria	Actinobacteria	
burkholderia_sartisoli	Bacteria	Proteobacteria	Betaproteobacteria
gloeophyllum_abietinum	Eukaryota	Basidiomycota	
leifsonia_naganoensis	Bacteria	Actinobacteria	
leucobacter_chironomi	Bacteria	Actinobacteria	
legionella_adelaidensis	Bacteria	Proteobacteria	Gammaproteobacteria
novosphingobium_acidiphilum	Bacteria	Proteobacteria	Alphaproteobacteria
xanthophyllomyces_dendrorhous	Eukaryota	Basidiomycota	
streptomyces_hirsutus	Bacteria	Actinobacteria	
sporotrichum_azureum	Eukaryota	Basidiomycota	
pleurotus_salmoneostramineus	Eukaryota	Basidiomycota	
rubrimonas_cliftonensis	Bacteria	Proteobacteria	Alphaproteobacteria
chaetomium_aureum	Eukaryota	Ascomycota	
exiguobacterium_undae	Bacteria	Firmicutes	
pasteurella_dagmatis	Bacteria	Proteobacteria	Gammaproteobacteria
bacillus_simplex	Bacteria	Firmicutes	
halorhabdus_tiamatea	Archaea	Euryarchaeota	
vibrio_mangrovi	Bacteria	Proteobacteria	Gammaproteobacteria
ornithinimicrobium_kibberense	Bacteria	Actinobacteria	
candida_auris	Eukaryota	Ascomycota	
steatomys_pratensis	Eukaryota	Chordata	
betula_pendula	Eukaryota	Streptophyta	
vibrio_tapetis	Bacteria	Proteobacteria	Gammaproteobacteria
spermophilus_mohavensis	Eukaryota	Chordata	
thermosynechococcus_vulcanus	Bacteria	Cyanobacteria	
deinococcus_ficus	Bacteria	Deinococcus-Thermus	
sorex_vagrans	Eukaryota	Chordata	
pseudomonas_panacis	Bacteria	Proteobacteria	Gammaproteobacteria
dasyprocta_leporina	Eukaryota	Chordata	
clethrionomys_californicus	Eukaryota	Chordata	
desulfurispora_thermophila	Bacteria	Firmicutes	
sulfitobacter_pontiacus	Bacteria	Proteobacteria	Alphaproteobacteria
microscilla_flexibacter	Bacteria	Bacteroidetes	
mycoplasma_arthritidis	Bacteria	Tenericutes	
veillonella_denticariosi	Bacteria	Firmicutes	
corynebacterium_aquatimens	Bacteria	Actinobacteria	
phaeobacter_gallaeciensis	Bacteria	Proteobacteria	Alphaproteobacteria
thioalkalimicrobium_sibiricum	Bacteria	Proteobacteria	Gammaproteobacteria
amphibacillus_fermentum	Bacteria	Firmicutes	
ammoniphilus_oxalaticus	Bacteria	Firmicutes	
clostridium_isatidis	Bacteria	Firmicutes	
streptococcus_pyogenes	Bacteria	Firmicutes	
desulfovibrio_mexicanus	Bacteria	Proteobacteria	Deltaproteobacteria
dendryphion_penicillatum	Eukaryota	Ascomycota	
paenibacillus_macerans	Bacteria	Firmicutes	
alcanivorax_dieselolei	Bacteria	Proteobacteria	Gammaproteobacteria
pseudonocardia_endophytica	Bacteria	Actinobacteria	
hypoxylon_fragiforme	Eukaryota	Ascomycota	
halopiger_aswanensis	Archaea	Euryarchaeota	
pseudomonas_fluorescens	Bacteria	Proteobacteria	Gammaproteobacteria
streptomyces_cinereospinus	Bacteria	Actinobacteria	
methanocaldococcus_vulcanius	Archaea	Euryarchaeota	
candida_tenuis	Eukaryota	Ascomycota	
alistipes_indistinctus	Bacteria	Bacteroidetes	
ruania_albidiflava	Bacteria	Actinobacteria	
variovorax_soli	Bacteria	Proteobacteria	
actinomyces_hominis	Bacteria	Actinobacteria	
marinitoga_okinawensis	Bacteria	Thermotogae	
thermotoga_lettingae	Bacteria	Thermotogae	
thermosipho_africanus	Bacteria	Thermotogae	
rhizomucor_pusillus	Eukaryota	Mucoromycota	
desulfotomaculum_nigrificans	Bacteria	Firmicutes	
verpa_digitaliformis	Eukaryota	Ascomycota	
streptomyces_ferralitis	Bacteria	Actinobacteria	
enterococcus_mundtii	Bacteria	Firmicutes	
thiohalocapsa_marina	Bacteria	Proteobacteria	Gammaproteobacteria
phaeospirillum_molischianum	Bacteria	Proteobacteria	Alphaproteobacteria
pseudorhodoferax_soli	Bacteria	Proteobacteria	Betaproteobacteria
rhizoctonia_solani	Eukaryota	Basidiomycota	
thioalkalivibrio_denitrificans	Bacteria	Proteobacteria	Gammaproteobacteria
gardenia_florida	Eukaryota	Streptophyta	
raffaelea_tritirachium	Eukaryota	Ascomycota	
desulfovibrio_desulfuricans	Bacteria	Proteobacteria	Deltaproteobacteria
pischia_pastoris	Eukaryota	Ascomycota	
streptomyces_tateyamensis	Bacteria	Actinobacteria	
hydrogenophaga_pseudoflava	Bacteria	Proteobacteria	Betaproteobacteria
alicyclobacillus_shizuokensis	Bacteria	Firmicutes	
streptomyces_sclerotialus	Bacteria	Actinobacteria	
pyrodictium_occultum	Archaea	Crenarchaeota	
spinacia_oleracea	Eukaryota	Streptophyta	
brachybacterium_conglomeratum	Bacteria	Actinobacteria	
aestuariibacter_salexigens	Bacteria	Proteobacteria	Gammaproteobacteria
nocardioides_albus	Bacteria	Actinobacteria	
desulfovibrio_tunisiensis	Bacteria	Proteobacteria	Deltaproteobacteria
nandina_domestica	Eukaryota	Streptophyta	
vuilleminia_comedens	Eukaryota	Basidiomycota	
acrobates_pygmaeus	Eukaryota	Chordata	
pirellula_staleyi	Bacteria	Planctomycetes	
alternaria_zinniae	Eukaryota	Ascomycota	
salimicrobium_halophilum	Bacteria	Firmicutes	
halorubrum_hochstenium	Archaea	Euryarchaeota	
desulfurobacterium_pacificum	Bacteria	Aquificae	
vibrio_variabilis	Bacteria	Proteobacteria	Gammaproteobacteria
myxococcus_stipitatus	Bacteria	Proteobacteria	Deltaproteobacteria
mesorhizobium_shangrilense	Bacteria	Proteobacteria	Alphaproteobacteria
pseudonocardia_autotrophica	Bacteria	Actinobacteria	
valsa_nivea	Eukaryota	Ascomycota	
arthrobacter_psychrochitiniphilus	Bacteria	Actinobacteria	
xanthobacter_flavus	Bacteria	Proteobacteria	Alphaproteobacteria
candida_albicans	Eukaryota	Ascomycota	
cystobacter_gracilis	Bacteria	Proteobacteria	Deltaproteobacteria
zobellia_uliginosa	Bacteria	Bacteroidetes	
sphingobacterium_faecium	Bacteria	Bacteroidetes	
idiomarina_maris	Bacteria	Proteobacteria	Gammaproteobacteria
paenibacillus_agarexedens	Bacteria	Firmicutes	
streptomyces_crystallinus	Bacteria	Actinobacteria	
lysinibacillus_mangiferihumi	Bacteria	Firmicutes	
enterococcus_saccharolyticus	Bacteria	Firmicutes	
halomonas_sinaiensis	Bacteria	Proteobacteria	Gammaproteobacteria
marinithermus_hydrothermalis	Bacteria	Deinococcus-Thermus	
dokdonella_ginsengisoli	Bacteria	Proteobacteria	Gammaproteobacteria
agrocybe_arvalis	Eukaryota	Basidiomycota	
bartonella_queenslandensis	Bacteria	Proteobacteria	Alphaproteobacteria
buttiauxella_izardii	Bacteria	Proteobacteria	Gammaproteobacteria
xanthomonas_theicola	Bacteria	Proteobacteria	Gammaproteobacteria
veillonella_atypica	Bacteria	Firmicutes	
dethiosulfovibrio_acidaminovorans	Bacteria	Synergistetes	
spartium_junceum	Eukaryota	Streptophyta	
sphingobium_rhizomonas	Bacteria	Proteobacteria	Alphaproteobacteria
lysobacter_ruishenii	Bacteria	Proteobacteria	Gammaproteobacteria
eremothecium_gossypii	Eukaryota	Ascomycota	
labrenzia_aggregata	Bacteria	Proteobacteria	Alphaproteobacteria
desulfovibrio_alcoholivorans	Bacteria	Proteobacteria	Deltaproteobacteria
cassia_fistula	Eukaryota	Streptophyta	
halobacillus_halophilus	Bacteria	Firmicutes	
burkholderia_tuberum	Bacteria	Proteobacteria	Betaproteobacteria
pseudocheirus_occidentalis	Eukaryota	Chordata	
massilia_consociata	Bacteria	Proteobacteria	Betaproteobacteria
gaeumannomyces_graminis	Eukaryota	Ascomycota	
brevibacterium_permense	Bacteria	Actinobacteria	
aspergillus_foetidus	Eukaryota	Ascomycota	
sulfitobacter_marinus	Bacteria	Proteobacteria	Alphaproteobacteria
paenibacillus_stellifer	Bacteria	Firmicutes	
lactobacillus_siliginis	Bacteria	Firmicutes	
agromyces_salentinus	Bacteria	Actinobacteria	
cellulomonas_denverensis	Bacteria	Actinobacteria	
thermoanaerobacter_thermohydrosulfuricus	Bacteria	Firmicutes	
bacteroides_dorei	Bacteria	Bacteroidetes	
macrococcus_brunensis	Bacteria	Firmicutes	
streptomyces_lividans	Bacteria	Actinobacteria	
mycobacterium_botniense	Bacteria	Actinobacteria	
kocuria_atrinae	Bacteria	Actinobacteria	
lysobacter_ginsengisoli	Bacteria	Proteobacteria	Gammaproteobacteria
halanaerobium_saccharolyticum	Bacteria	Firmicutes	
streptomyces_anandii	Bacteria	Actinobacteria	
nocardia_globerula	Bacteria	Actinobacteria	
methanobrevibacter_woesei	Archaea	Euryarchaeota	
atelerix_albiventris	Eukaryota	Chordata	
pholiota_nameko	Eukaryota	Basidiomycota	
thiohalocapsa_halophila	Bacteria	Proteobacteria	Gammaproteobacteria
paenibacillus_donghaensis	Bacteria	Firmicutes	
spermophilus_spilosoma	Eukaryota	Chordata	
penicillium_canescens	Eukaryota	Ascomycota	
sulfobacillus_thermotolerans	Bacteria	Firmicutes	
paenibacillus_hunanensis	Bacteria	Firmicutes	
rhizobium_pusense	Bacteria	Proteobacteria	Alphaproteobacteria
thioalkalivibrio_nitratis	Bacteria	Proteobacteria	Gammaproteobacteria
tatumella_punctata	Bacteria	Proteobacteria	Gammaproteobacteria
agaricus_xanthoderma	Eukaryota	Basidiomycota	
lysobacter_oryzae	Bacteria	Proteobacteria	Gammaproteobacteria
selenomonas_bovis	Bacteria	Firmicutes	
hericium_erinaceus	Eukaryota	Basidiomycota	
chryseobacterium_palustre	Bacteria	Bacteroidetes	
fluoribacter_gormanii	Bacteria	Proteobacteria	Gammaproteobacteria
drechslera_phlei	Eukaryota	Ascomycota	
rhizobium_radiobacter	Bacteria	Proteobacteria	Alphaproteobacteria
nocardia_albiflava	Bacteria	Actinobacteria	
aquicella_siphonis	Bacteria	Proteobacteria	Gammaproteobacteria
penicillium_dierckxii	Eukaryota	Ascomycota	
propionispira_arboris	Bacteria	Firmicutes	
riemerella_anatipestifer	Bacteria	Bacteroidetes	
streptomyces_umbrinus	Bacteria	Actinobacteria	
tissierella_creatinini	Bacteria	Firmicutes	
halarchaeum_acidiphilum	Archaea	Euryarchaeota	
dermacoccus_abyssi	Bacteria	Actinobacteria	
actinocorallia_aurantiaca	Bacteria	Actinobacteria	
nocardia_nova	Bacteria	Actinobacteria	
brachybacterium_phenoliresistens	Bacteria	Actinobacteria	
clostridium_tagluense	Bacteria	Firmicutes	
phoma_acicola	Eukaryota	Ascomycota	
desulfonatronum_thioautotrophicum	Bacteria	Proteobacteria	Deltaproteobacteria
gordonia_terrae	Bacteria	Actinobacteria	
leuconostoc_mesenteroides	Bacteria	Firmicutes	
galium_pumilum	Eukaryota	Streptophyta	
friedmanniella_luteola	Bacteria	Actinobacteria	
kocuria_assamensis	Bacteria	Actinobacteria	
argania_sideroxylon	Eukaryota	Streptophyta	
cystobacter_velatus	Bacteria	Proteobacteria	Deltaproteobacteria
streptomyces_cinnamoneus	Bacteria	Actinobacteria	
brevibacterium_casei	Bacteria	Actinobacteria	
echium_pininana	Eukaryota	Streptophyta	
clostridium_bartlettii	Bacteria	Firmicutes	
haliea_rubra	Bacteria	Proteobacteria	Gammaproteobacteria
kitasatospora_paranensis	Bacteria	Actinobacteria	
nocardioides_panacisoli	Bacteria	Actinobacteria	
truncatella_angustata	Eukaryota	Ascomycota	
melittangium_lichenicola	Bacteria	Proteobacteria	Deltaproteobacteria
natronomonas_pharaonis	Archaea	Euryarchaeota	
enterococcus_malodoratus	Bacteria	Firmicutes	
isoodon_obesulus	Eukaryota	Chordata	
sphingomonas_faeni	Bacteria	Proteobacteria	Alphaproteobacteria
fuchsia_encliandra	Eukaryota	Streptophyta	
dysgonomonas_capnocytophagoides	Bacteria	Bacteroidetes	
dasyurus_viverrinus	Eukaryota	Chordata	
thalassospira_lucentensis	Bacteria	Proteobacteria	Alphaproteobacteria
thermincola_ferriacetica	Bacteria	Firmicutes	
leuceana_glauca	Eukaryota	Streptophyta	
chaetodipus_intermedius	Eukaryota	Chordata	
streptomyces_purpurogeneiscleroticus	Bacteria	Actinobacteria	
nocardiopsis_ganjiahuensis	Bacteria	Actinobacteria	
viola_calaminaria	Eukaryota	Streptophyta	
lechevalieria_fradiae	Bacteria	Actinobacteria	
streptomyces_griseus	Bacteria	Actinobacteria	
microbacterium_esteraromaticum	Bacteria	Actinobacteria	
oceanicaulis_alexandrii	Bacteria	Proteobacteria	Alphaproteobacteria
vincetoxicum_fuscatum	Eukaryota	Streptophyta	
hoeflea_alexandrii	Bacteria	Proteobacteria	Alphaproteobacteria
harzia_acremonioides	Eukaryota	Ascomycota	
acinetobacter_tjernbergiae	Bacteria	Proteobacteria	Gammaproteobacteria
citreicella_thiooxidans	Bacteria	Proteobacteria	Alphaproteobacteria
hydrogenoanaerobacterium_saccharovorans	Bacteria	Firmicutes	
gerbillurus_setzeri	Eukaryota	Chordata	
eurotium_amstelodami	Eukaryota	Ascomycota	
dickeya_zeae	Bacteria	Proteobacteria	
nautilia_profundicola	Bacteria	Proteobacteria	Epsilonproteobacteria
pseudoxanthomonas_yeongjuensis	Bacteria	Proteobacteria	Gammaproteobacteria
aminobacterium_colombiense	Bacteria	Synergistetes	
candida_solani	Eukaryota	Ascomycota	
rhodopseudomonas_acidophila	Bacteria	Proteobacteria	Alphaproteobacteria
thermithiobacillus_tepidarius	Bacteria	Proteobacteria	Acidithiobacillia
methanohalophilus_mahii	Archaea	Euryarchaeota	
spirochaeta_cellobiosiphila	Bacteria	Spirochaetes	
eremococcus_coleocola	Bacteria	Firmicutes	
ervatamia_coronaria	Eukaryota	Streptophyta	
micromonospora_inyonensis	Bacteria	Actinobacteria	
dermacoccus_profundi	Bacteria	Actinobacteria	
shewanella_gelidimarina	Bacteria	Proteobacteria	Gammaproteobacteria
